#{"t_start": 1613974487.2586246, "env_id": "sdnsampling-v1"}
r,l,t
0.368946,1,4.168186
0.662076,1,4.923228
0.362673,1,6.381571
0.586887,1,7.137205
-0.020526,1,7.895227
0.610812,1,8.665247
0.025603,1,9.44035
-0.203303,1,10.21567
-0.066684,1,10.97536
0.179107,1,11.738886
0.358868,1,12.512571
0.53515,1,13.283618
0.704181,1,14.078567
0.300078,1,14.853959
0.203223,1,15.608936
0.068141,1,16.938963
0.505819,1,17.758564
0.45614,1,18.487572
-0.106359,1,19.320741
0.411497,1,20.119984
0.72137,1,20.854783
0.222352,1,21.613728
0.238178,1,22.367027
0.270699,1,23.139973
0.083482,1,23.912871
0.490963,1,24.683966
0.10258,1,25.451108
0.114371,1,26.204072
0.204923,1,26.964037
0.216686,1,27.727082
0.423867,1,28.490035
0.676156,1,29.275552
-0.309221,1,30.032981
0.11231,1,30.795127
0.21463,1,31.562246
0.015829,1,33.03919
0.304466,1,33.809165
-0.608184,1,35.262583
-0.051645,1,36.026311
0.132355,1,36.795907
0.462102,1,37.572254
0.230128,1,38.33181
0.364745,1,39.081209
0.480428,1,39.842303
-0.043248,1,41.313604
-0.404648,1,42.093921
0.402223,1,42.854381
-0.078195,1,43.613368
0.571198,1,44.382439
0.232832,1,45.150931
0.242869,1,45.92346
0.055158,1,47.406405
0.105343,1,48.873836
0.670468,1,49.652349
0.055319,1,50.429823
0.38644,1,51.210021
0.263848,1,51.985405
-0.723709,1,52.757156
-0.657514,1,53.522673
-0.259868,1,54.29293
-0.333963,1,55.05349
-0.14937,1,55.828919
0.176663,1,56.592381
0.528411,1,57.355486
0.190387,1,58.126215
0.049379,1,59.618016
0.228643,1,60.389994
0.331747,1,61.157304
-0.135602,1,61.924531
0.48103,1,62.706731
-0.335712,1,63.473586
0.578047,1,64.241482
0.552612,1,65.002013
0.129509,1,65.775009
-0.142837,1,67.135773
0.147211,1,67.916824
0.669898,1,69.385076
0.129157,1,70.140166
0.43633,1,70.89103
0.209647,1,71.647173
-0.315433,1,72.416458
0.125693,1,73.186326
0.293539,1,73.963022
0.424253,1,74.727933
0.529465,1,75.501635
0.258156,1,76.260455
0.398004,1,77.037564
0.272939,1,77.803568
0.639186,1,78.568197
0.274589,1,79.319629
0.131081,1,80.073832
0.420612,1,80.831212
0.122387,1,81.587196
-0.146106,1,82.344712
0.404153,1,83.10657
0.010914,1,83.863056
-0.03031,1,84.633799
-0.357027,1,85.393541
0.554766,1,86.15165
0.675509,1,86.925499
0.045279,1,87.676968
0.666806,1,88.436204
0.4375,1,89.932382
-0.326217,1,90.69324
0.28878,1,91.460096
0.552856,1,92.222332
0.559128,1,92.997438
-0.045581,1,93.764724
0.687718,1,94.526788
0.315613,1,95.292614
0.588401,1,96.767418
0.108007,1,97.537934
0.306933,1,98.298053
0.204571,1,99.049717
0.545776,1,99.800299
0.596631,1,100.553148
0.417581,1,101.312654
-0.107117,1,102.070431
0.382922,1,102.824549
-0.426682,1,103.583427
0.101055,1,105.027998
0.038081,1,105.797296
0.435589,1,106.564218
0.562242,1,107.328304
0.268633,1,108.103577
0.211139,1,108.868692
0.560655,1,109.638162
0.43447,1,110.398707
0.523943,1,111.166722
-0.06917,1,111.928883
-0.281692,1,112.68737
0.373676,1,114.163234
0.423133,1,114.923962
0.292206,1,115.690144
-0.142467,1,116.451956
0.44076,1,117.20942
0.507121,1,117.966082
0.605953,1,118.730507
-0.508253,1,119.490476
0.440165,1,120.257482
-0.010848,1,121.025188
0.253805,1,121.789502
-0.015067,1,122.542154
-0.019012,1,123.302174
0.485972,1,124.062307
0.208246,1,124.828836
0.193873,1,125.601628
0.762688,1,126.382052
0.350554,1,127.140365
-0.124651,1,127.898295
0.311133,1,128.66651
-0.296455,1,130.1397
0.29647,1,131.586404
0.560257,1,132.359234
0.352817,1,133.132223
0.219713,1,133.901645
-0.340058,1,134.669628
0.402349,1,135.433504
0.455395,1,136.212023
0.589165,1,136.981679
0.148754,1,137.762806
0.496595,1,138.520162
0.079489,1,139.280331
0.177323,1,140.759384
0.356636,1,141.523513
0.079528,1,142.291866
0.328791,1,143.065557
0.272347,1,143.846337
0.077618,1,144.606466
0.463197,1,145.384097
0.308231,1,146.146294
0.321851,1,146.916836
0.172728,1,147.681942
0.613901,1,148.442399
0.402346,1,149.205859
0.526784,1,150.672317
0.621874,1,152.127794
0.234665,1,153.575398
0.202188,1,154.336886
0.251564,1,155.100969
0.271649,1,155.863852
-0.128985,1,156.618646
-0.25166,1,157.382468
0.685349,1,158.145274
0.342902,1,159.467867
0.127158,1,160.23192
-0.28323,1,160.999792
0.054444,1,161.758521
0.281843,1,162.520672
0.656774,1,163.279152
0.428801,1,164.037824
-0.137461,1,164.800766
-0.103451,1,165.560552
0.145463,1,166.32718
-0.265785,1,167.093498
-0.109883,1,167.86372
0.525465,1,168.630299
0.541499,1,169.390375
0.12927,1,170.148917
-0.3105,1,170.910125
0.633262,1,172.726455
0.644238,1,173.49828
0.401499,1,174.267315
0.237831,1,175.03683
0.717401,1,175.811012
0.70133,1,176.57734
0.627328,1,177.347041
0.039674,1,178.119551
0.659374,1,178.88822
-0.287224,1,179.659136
-0.490486,1,180.435139
0.150478,1,181.928579
0.564137,1,182.691303
0.548518,1,183.455047
-0.53852,1,184.203395
0.376098,1,184.955951
0.318918,1,186.400673
0.611587,1,187.155424
0.726775,1,187.930153
0.255715,1,188.689756
0.653673,1,189.449409
-0.035157,1,190.208031
0.221234,1,191.63933
0.222795,1,192.403853
0.64655,1,193.175696
0.354348,1,193.929792
0.426398,1,194.681616
0.266843,1,195.436756
0.311067,1,196.192008
0.114864,1,196.954922
0.412649,1,197.708374
0.160628,1,198.474368
0.255965,1,199.239974
0.432269,1,200.019242
0.426659,1,200.769465
0.165373,1,201.522474
0.511552,1,202.271055
0.565982,1,203.741573
-0.266437,1,204.509222
0.271544,1,205.268024
0.238125,1,206.02589
0.058753,1,207.458112
0.132514,1,208.208035
0.384868,1,208.963625
0.093155,1,209.741208
-0.043456,1,210.509052
0.521289,1,211.265662
0.673872,1,212.019736
0.659678,1,212.784692
0.498437,1,213.53126
0.424658,1,214.287847
0.555363,1,215.052567
0.217703,1,215.813651
0.38695,1,216.587518
-0.011789,1,217.347375
0.679897,1,218.113064
0.129436,1,218.870963
0.324994,1,220.314034
0.754124,1,221.0653
0.471033,1,221.821304
0.555667,1,222.573367
0.479011,1,223.351589
0.552093,1,224.162563
0.339038,1,224.958335
-0.069995,1,225.73561
0.684471,1,226.518713
-0.080622,1,227.276254
0.61607,1,228.042165
0.792265,1,228.826303
-0.0241,1,229.591882
0.681303,1,230.352012
0.26713,1,231.114648
0.607202,1,231.875241
0.018851,1,233.210791
0.491808,1,233.975165
0.167232,1,234.742338
0.695693,1,236.226485
0.165019,1,236.99017
0.598614,1,237.749998
0.589067,1,239.17417
0.20922,1,239.933209
-0.154525,1,240.722746
0.468204,1,242.153402
0.477806,1,242.917837
0.671833,1,243.68406
