#{"t_start": 1601012624.1188917, "env_id": "sdnsampling-v2"}
r,l,t
0.297309,1,3.615442
0.145602,1,3.622461
0.136649,1,3.628289
0.271415,1,3.633564
0.279641,1,3.639239
0.110642,1,3.645009
0.091959,1,3.650868
0.22655,1,3.658209
-0.099095,1,3.66742
0.064013,1,3.678901
-0.018515,1,3.684582
0.172783,1,3.689338
0.172235,1,3.694436
0.230721,1,3.701355
0.353888,1,3.708836
-0.107633,1,3.714729
-0.027798,1,3.719599
0.217211,1,3.726101
0.22588,1,3.739856
0.306514,1,3.746834
0.083841,1,3.752271
0.191556,1,3.762459
0.16142,1,3.76899
-0.060524,1,3.779531
-0.008952,1,3.785818
0.323682,1,3.792051
0.433347,1,3.806702
0.023878,1,3.81186
0.378814,1,3.817389
0.306451,1,3.822848
0.086376,1,3.827168
0.573279,1,3.836359
0.131909,1,3.843678
0.225907,1,3.849289
0.16715,1,3.855402
0.116503,1,3.862847
0.45678,1,3.871747
0.262726,1,3.877396
0.408156,1,3.888134
0.139008,1,3.892459
0.128742,1,3.9001
0.404181,1,3.906961
0.167264,1,3.91512
0.515947,1,3.919978
0.284228,1,3.924987
0.194283,1,3.931142
0.540495,1,3.940774
0.325841,1,3.94513
0.465312,1,3.949444
-0.139975,1,3.955057
-0.027279,1,3.959985
0.102233,1,3.965717
0.117325,1,3.979449
0.246043,1,3.984724
0.071567,1,3.98927
0.184423,1,3.99374
-0.013787,1,4.000798
0.33032,1,4.006827
0.128937,1,4.012111
0.308922,1,4.01833
0.03922,1,4.023123
0.291781,1,4.029723
0.223337,1,4.034972
0.464801,1,4.042529
0.040291,1,4.047543
0.186969,1,4.052355
0.144021,1,4.059374
0.238022,1,4.064161
0.25172,1,4.069573
0.326881,1,4.076873
0.201849,1,4.083009
0.511109,1,4.089393
0.349086,1,4.094353
0.377813,1,4.100185
0.329769,1,4.106567
0.131775,1,4.114185
-0.067134,1,4.119006
0.257571,1,4.125206
0.301366,1,4.1312
0.344943,1,4.142601
0.091718,1,4.150211
0.129232,1,4.158371
0.376224,1,4.166207
0.047931,1,4.17132
0.237084,1,4.179948
0.529479,1,4.190501
0.042825,1,4.195093
0.284968,1,4.199887
0.117164,1,4.208401
0.242046,1,4.217443
0.173012,1,4.222002
0.183131,1,4.227644
0.11828,1,4.232744
0.044559,1,4.24087
0.298225,1,4.246536
-0.086295,1,4.252321
0.319963,1,4.260968
0.176033,1,4.267588
0.10958,1,4.273791
0.177807,1,4.285119
0.164958,1,4.292499
0.440026,1,4.303336
-0.047635,1,4.311435
0.058827,1,4.317903
0.030283,1,4.326372
-0.062433,1,4.332653
0.012544,1,4.339386
-0.029301,1,4.345202
0.150808,1,4.352106
0.165432,1,4.357962
0.300723,1,4.367345
0.011609,1,4.37551
0.169535,1,4.382272
0.176655,1,4.389948
-0.090011,1,4.394753
0.170691,1,4.40422
-0.011731,1,4.409232
0.415166,1,4.419682
-0.130941,1,4.425323
0.244564,1,4.429651
0.026841,1,4.437483
0.482433,1,4.442009
0.039547,1,4.44711
0.313436,1,4.45759
0.117046,1,4.467836
-0.020845,1,4.475478
0.146145,1,4.490931
0.312025,1,4.505459
0.257499,1,4.513027
0.111178,1,4.517594
0.169431,1,4.522599
0.347455,1,4.529903
0.454519,1,4.549783
0.004537,1,4.555196
0.106921,1,4.565604
-0.059328,1,4.572228
0.191548,1,4.577938
0.180161,1,4.585795
0.419814,1,4.597298
0.115857,1,4.606289
0.102345,1,4.614176
-0.069978,1,4.622089
-0.026314,1,4.630743
0.229416,1,4.64227
0.098804,1,4.64843
-0.163715,1,4.660319
-0.01736,1,4.667665
0.254577,1,4.676785
0.13145,1,4.687973
0.391595,1,4.700282
0.209226,1,4.707072
0.001588,1,4.712799
0.300927,1,4.718966
0.096162,1,4.724034
0.168685,1,4.72948
-0.026428,1,4.734649
0.129555,1,4.740766
0.283446,1,4.748612
0.079964,1,4.753599
0.070341,1,4.761391
0.287465,1,4.771341
0.166737,1,4.776691
0.22338,1,4.78255
0.438066,1,4.792839
-0.098601,1,4.799509
0.435386,1,4.818641
0.265501,1,4.825726
-0.079398,1,4.830579
0.42897,1,4.842384
0.06358,1,4.848426
0.376277,1,4.855448
0.447933,1,4.864153
0.269808,1,4.874636
0.305991,1,4.88439
0.213502,1,4.892589
0.206213,1,4.899137
0.201565,1,4.907643
0.178579,1,4.914108
0.215856,1,4.919389
-0.12496,1,4.925538
0.295892,1,4.930285
0.350454,1,4.943211
0.123282,1,4.94961
-0.022847,1,4.955802
0.10312,1,4.965003
0.097413,1,4.973005
0.080755,1,4.983529
0.204046,1,4.989976
-0.124133,1,4.995697
-0.090121,1,5.002631
0.070766,1,5.011847
0.191267,1,5.025203
0.384975,1,5.034107
0.312733,1,5.040226
0.120058,1,5.046292
0.181847,1,5.051947
0.278323,1,5.057557
0.043,1,5.066981
0.159074,1,5.073843
0.130075,1,5.07985
0.204351,1,6.088719
0.139284,1,6.096182
-0.03195,1,6.104522
-0.042553,1,6.120273
0.091847,1,6.126026
0.173905,1,6.131748
-0.096397,1,6.139838
0.145665,1,6.145473
0.180735,1,6.150869
0.135766,1,6.163994
0.142142,1,6.169016
0.572831,1,6.174337
0.308337,1,6.180511
0.357929,1,6.185773
0.410021,1,6.196761
0.0569,1,6.207911
0.299724,1,6.216452
0.004306,1,6.2207
0.329107,1,6.226352
0.191323,1,6.232999
0.159547,1,6.237337
0.134874,1,6.244361
0.475326,1,6.249292
0.221086,1,6.253759
0.126827,1,6.258467
0.450275,1,6.262898
0.296887,1,6.269371
0.041926,1,6.274499
0.15588,1,6.280612
0.272631,1,6.28791
0.308096,1,6.293787
0.390143,1,6.317235
0.159382,1,6.323364
-0.099059,1,6.32913
0.058483,1,6.33728
0.433762,1,6.355818
0.299956,1,6.36181
0.151282,1,6.367182
0.175341,1,6.372217
0.563559,1,6.378525
0.48353,1,6.389307
0.029245,1,6.396649
0.229357,1,6.406759
0.10314,1,6.412762
0.352842,1,6.419001
0.136388,1,6.423753
0.240714,1,6.427938
0.255774,1,6.432637
0.035174,1,6.440504
0.209931,1,6.447601
0.347266,1,6.454711
0.286213,1,6.460697
0.069899,1,6.468009
0.223417,1,6.474002
0.513377,1,6.481349
-0.003572,1,6.492741
0.315425,1,6.503976
-0.032863,1,6.511866
0.279717,1,6.520417
-0.062252,1,6.529142
0.118165,1,6.538801
0.157666,1,6.547434
0.182896,1,6.554158
0.233761,1,6.557811
0.205484,1,6.561604
-0.159698,1,6.564957
0.042956,1,6.56876
0.455358,1,6.574464
0.421707,1,6.583223
0.193941,1,6.58688
0.249446,1,6.594586
0.255172,1,6.599783
0.036287,1,6.603348
-0.065924,1,6.607318
0.194791,1,6.611092
0.437634,1,6.615164
0.108099,1,6.619563
0.142825,1,6.626554
0.090476,1,6.63101
0.279846,1,6.634591
0.394745,1,6.637777
0.194951,1,6.643257
0.22247,1,6.646559
0.188074,1,6.64965
0.302079,1,6.653159
0.333591,1,6.656466
0.149881,1,6.659442
0.271059,1,6.662236
0.11324,1,6.665554
0.265982,1,6.672467
-0.134562,1,6.676523
0.341108,1,6.682681
0.311535,1,6.702051
0.296779,1,6.712619
0.264342,1,6.72272
0.199969,1,6.732271
0.045625,1,6.736919
0.271541,1,6.740927
0.059588,1,6.745308
0.198894,1,6.755836
0.416642,1,7.372867
0.505365,1,7.377167
0.050164,1,7.383359
0.078565,1,7.387999
-0.216231,1,7.39518
0.473828,1,7.402541
-0.023426,1,7.407549
0.176621,1,7.412144
-0.017913,1,7.417004
-0.159241,1,7.422298
-0.09211,1,7.427591
0.349699,1,7.433602
0.129009,1,7.445146
0.067582,1,7.453141
0.14529,1,7.460016
0.05363,1,7.465
0.231476,1,7.469587
0.127857,1,7.474607
-0.001705,1,7.479843
0.30555,1,7.485615
0.138164,1,7.49107
0.174455,1,7.497959
-0.138118,1,7.50872
0.045824,1,7.520182
0.295581,1,7.527235
0.238695,1,7.536144
-0.029449,1,7.541556
0.302847,1,7.546802
0.17643,1,7.553639
0.01369,1,7.560936
-0.123892,1,7.572197
0.169425,1,7.581975
0.16511,1,7.587605
0.23098,1,7.594137
0.205292,1,7.599064
0.454832,1,7.60973
0.196353,1,7.615777
0.207511,1,7.621631
-0.079123,1,7.625887
0.112014,1,7.631711
0.31887,1,7.63797
0.333743,1,7.643108
0.169795,1,7.652733
0.296331,1,7.666944
0.343651,1,7.676569
0.192789,1,7.681624
0.329072,1,7.691776
-0.15247,1,7.699216
0.164368,1,7.705451
0.471664,1,7.710389
0.022744,1,7.717587
0.193363,1,7.728613
0.145724,1,7.735074
0.154847,1,7.742756
0.28798,1,7.751498
-0.043167,1,7.759897
0.167994,1,7.772233
0.112838,1,7.778231
-0.024106,1,7.786464
-0.012864,1,7.79277
0.398356,1,7.807078
0.346398,1,7.812226
0.288316,1,7.816753
-0.244173,1,7.822924
0.207476,1,7.828305
0.339366,1,7.833072
0.136025,1,7.840615
0.349743,1,7.846478
-0.054328,1,7.854893
0.33543,1,7.865379
0.260712,1,7.87236
0.543901,1,7.882104
0.125073,1,7.887019
0.072306,1,7.893606
0.324143,1,7.900695
0.006724,1,7.905007
0.31456,1,7.913336
0.334795,1,7.919515
0.165136,1,7.924114
0.181729,1,7.933047
0.15447,1,7.948131
0.310766,1,7.954175
-0.102217,1,7.960444
0.303443,1,7.967349
-0.201879,1,7.978723
0.210273,1,7.986074
