#{"t_start": 1617864486.366404, "env_id": "sdnsampling-MTD-as-v0"}
r,l,t
225.033333,1,3.97906
225.033333,1,4.404853
225.033333,1,4.852381
225.033333,1,5.301913
225.033333,1,5.765303
225.033333,1,6.203826
224.033333,1,7.414961
212.316667,1,7.86317
224.033333,1,8.314059
224.033333,1,8.765476
224.033333,1,9.211212
224.033333,1,9.658401
224.033333,1,10.108694
224.033333,1,10.554827
224.033333,1,11.002369
224.033333,1,11.44909
192.10248,1,11.929183
224.033333,1,12.406302
224.033333,1,12.849507
224.033333,1,13.302318
224.033333,1,13.754534
224.033333,1,14.203102
216.975272,1,14.647985
224.033333,1,15.104875
224.033333,1,15.559633
224.033333,1,16.010596
224.033333,1,16.460652
224.033333,1,16.909557
224.033333,1,17.357745
235.200711,1,18.448258
237.783333,1,18.903749
237.783333,1,19.352334
237.783333,1,19.797698
237.783333,1,20.268405
237.783333,1,20.72112
237.783333,1,21.164769
237.783333,1,21.609056
237.783333,1,22.058735
237.783333,1,22.502038
237.783333,1,22.950383
237.783333,1,23.419214
237.783333,1,23.874012
16.766667,1,24.323942
237.783333,1,24.767403
237.783333,1,25.221069
237.783333,1,25.673423
237.783333,1,26.131721
237.783333,1,26.577138
237.783333,1,27.025096
237.783333,1,27.472935
237.783333,1,27.91843
237.783333,1,28.363906
20.416667,1,28.810092
232.534162,1,29.259162
179.819769,1,29.712736
237.783333,1,30.164945
12.233333,1,31.380337
230.383333,1,31.828678
230.383333,1,32.280468
236.8,1,33.460919
236.8,1,33.906144
236.8,1,34.350578
236.8,1,34.796252
236.8,1,35.252994
236.8,1,35.697865
141.885638,1,36.144288
225.083333,1,37.341711
225.083333,1,37.788716
225.083333,1,38.240726
225.083333,1,38.690686
225.083333,1,39.140405
225.083333,1,39.592146
225.083333,1,40.044633
228.216667,1,41.251997
228.216667,1,41.704597
228.216667,1,42.157265
228.216667,1,42.606587
219.8,1,43.064333
228.216667,1,43.516
218.483333,1,44.707363
218.483333,1,45.156958
218.483333,1,45.605239
218.483333,1,46.053327
218.483333,1,46.500023
215.133333,1,47.68431
224.3,1,48.750316
219.85,1,49.936499
219.85,1,50.390559
219.85,1,50.835741
219.85,1,51.282312
236.766667,1,52.505488
236.766667,1,52.955757
236.766667,1,53.405069
236.766667,1,53.885389
227.916667,1,55.060796
227.916667,1,55.504149
227.916667,1,55.951171
227.916667,1,56.395469
227.916667,1,56.846344
227.916667,1,57.291062
225.654872,1,57.736706
227.916667,1,58.189243
227.916667,1,58.637664
227.916667,1,59.089683
227.916667,1,59.532947
227.916667,1,59.969754
227.916667,1,60.425576
227.916667,1,60.871902
227.916667,1,61.316805
227.916667,1,61.764101
217.05,1,62.962032
217.05,1,63.41254
217.05,1,63.860579
217.05,1,64.309582
165.207947,1,64.758877
217.05,1,65.211372
217.05,1,65.656607
214.073838,1,66.104298
217.05,1,66.555073
177.816883,1,67.000829
217.05,1,67.462812
217.05,1,67.902499
19.366667,1,68.353818
217.05,1,68.808098
217.05,1,69.254766
217.05,1,69.701617
217.05,1,70.154093
217.05,1,70.600469
217.05,1,71.051166
217.05,1,71.495012
217.05,1,71.943584
145.917352,1,72.39176
217.05,1,72.839576
217.05,1,73.287629
217.05,1,73.734943
220.566667,1,74.929086
235.55,1,76.115556
235.55,1,76.562899
235.55,1,77.010858
235.55,1,77.457976
235.55,1,77.907281
235.55,1,78.359116
235.55,1,78.808471
224.683333,1,79.876973
224.683333,1,80.320585
219.65,1,81.484356
225.233333,1,81.933853
225.233333,1,82.377791
225.233333,1,82.822994
225.233333,1,83.279956
234.8,1,84.449472
234.8,1,84.893195
234.8,1,85.337101
234.8,1,85.784848
234.8,1,86.231091
234.8,1,86.686706
234.8,1,87.13247
234.8,1,87.578492
231.192001,1,88.027133
234.8,1,88.479518
234.8,1,88.92483
228.283333,1,89.371524
234.8,1,89.82483
234.8,1,90.274581
234.8,1,90.724175
234.8,1,91.170531
234.8,1,91.616915
234.443567,1,92.061672
234.8,1,92.511844
234.8,1,92.961672
234.8,1,93.405355
234.8,1,93.849698
234.8,1,94.296496
234.8,1,94.747114
234.732167,1,95.19784
234.8,1,95.64622
234.8,1,96.092792
234.8,1,96.540935
234.8,1,96.987035
234.8,1,97.431864
234.8,1,97.875324
234.8,1,98.321528
234.8,1,98.766385
234.8,1,99.214459
234.8,1,99.658339
234.8,1,100.105682
222.3,1,101.324066
222.3,1,101.776153
222.3,1,102.228892
222.3,1,102.676915
222.3,1,103.126666
222.3,1,103.574379
222.3,1,104.015642
222.019122,1,104.45631
222.3,1,104.913971
220.182624,1,105.365056
222.3,1,105.811393
222.3,1,106.267747
222.3,1,106.712802
222.3,1,107.15906
222.3,1,108.675469
222.3,1,109.1264
222.3,1,109.579066
222.3,1,110.030317
222.3,1,110.48114
222.3,1,110.934929
222.3,1,111.387319
222.3,1,111.845746
222.3,1,112.293378
222.3,1,112.740264
222.3,1,113.193136
218.149526,1,114.422662
229.55,1,114.876667
229.55,1,115.332947
229.55,1,115.801061
122.165977,1,116.255668
229.55,1,116.707439
229.55,1,117.156701
229.55,1,117.608335
229.083333,1,118.799421
232.4,1,119.976475
232.4,1,120.430562
232.4,1,120.88887
232.4,1,121.333342
232.4,1,121.782607
232.4,1,122.235045
232.4,1,122.686117
