#{"t_start": 1617895544.1983058, "env_id": "sdnsampling-MTD-exp-v0"}
r,l,t
0,1,13.402275
0,1,22.926169
41,1,32.849952
0,1,42.398058
0,1,52.01801
2,1,63.136234
0,1,72.717286
0,1,82.300073
0,1,91.859427
0,1,101.463539
0,1,110.967678
108,1,121.167107
0,1,130.75661
0,1,140.319549
0,1,149.730979
115,1,159.839268
108,1,169.922925
118,1,180.252362
115,1,190.55994
0,1,200.179744
0,1,209.743974
0,1,219.171667
109,1,229.427385
39,1,239.07569
108,1,249.231349
0,1,258.808389
110,1,269.222792
0,1,278.847258
106,1,289.414402
0,1,299.255468
0,1,308.991947
0,1,318.64033
114,1,328.939217
0,1,338.514791
109,1,348.828189
121,1,359.051619
113,1,369.459274
0,1,378.963379
122,1,389.443545
0,1,399.04903
0,1,408.645799
0,1,418.321712
107,1,428.566692
0,1,438.155649
112,1,448.560367
112,1,459.152387
112,1,469.572168
0,1,479.326674
113,1,489.787971
112,1,500.196242
107,1,510.348441
119,1,520.767826
0,1,530.315311
0,1,539.777817
123,1,550.057463
123,1,560.384501
125,1,570.771814
114,1,581.099593
0,1,590.543955
0,1,600.08363
108,1,610.397922
0,1,619.936641
0,1,629.568238
111,1,639.962302
114,1,650.340815
0,1,660.014573
0,1,669.675854
115,1,680.231512
0,1,689.948086
0,1,699.62394
114,1,710.021863
0,1,719.743952
123,1,730.20443
110,1,740.640374
116,1,750.951365
122,1,761.436596
110,1,771.755821
0,1,781.271607
0,1,790.848466
0,1,800.330338
110,1,810.627943
118,1,820.909008
109,1,831.090086
0,1,840.579335
0,1,850.154935
0,1,859.702033
122,1,870.128818
112,1,880.372537
0,1,889.9554
0,1,899.441785
109,1,909.742845
0,1,919.252711
110,1,929.647356
114,1,939.879921
121,1,950.127023
0,1,959.683418
0,1,969.188723
109,1,979.620461
0,1,989.287548
0,1,999.03616
115,1,1009.487969
0,1,1019.220068
0,1,1028.985127
110,1,1039.321406
0,1,1049.08373
115,1,1059.456884
121,1,1069.887415
0,1,1079.608613
110,1,1089.909822
0,1,1099.506193
108,1,1109.884221
113,1,1120.183409
114,1,1130.539536
0,1,1139.968487
121,1,1150.278991
113,1,1160.435117
0,1,1170.009184
112,1,1180.29701
0,1,1189.321106
87,1,1209.179646
0,1,1218.279846
0,1,1227.287993
0,1,1236.280717
0,1,1245.248902
0,1,1254.342883
83,1,1274.143905
0,1,1283.185118
84,1,1303.155845
0,1,1312.811449
112,1,1323.12246
0,1,1332.651678
0,1,1342.310414
111,1,1352.757337
115,1,1363.167592
113,1,1373.55171
122,1,1383.980086
115,1,1394.087677
0,1,1403.7368
0,1,1413.35154
0,1,1422.880343
114,1,1433.351881
121,1,1443.76762
113,1,1454.143431
0,1,1463.743595
0,1,1473.384183
117,1,1483.730779
0,1,1493.395778
0,1,1503.079766
0,1,1512.766104
113,1,1523.184613
0,1,1532.836165
113,1,1543.396175
114,1,1553.909544
109,1,1564.464478
0,1,1574.120776
0,1,1583.767661
0,1,1593.321814
0,1,1602.939786
112,1,1613.379917
0,1,1622.901247
119,1,1633.125543
112,1,1643.52537
121,1,1653.857638
110,1,1664.163272
121,1,1674.539158
116,1,1684.87253
0,1,1694.435215
114,1,1704.876509
114,1,1715.24067
115,1,1725.643893
0,1,1735.439837
0,1,1745.103956
0,1,1754.965026
0,1,1764.751816
0,1,1774.376213
114,1,1784.878785
123,1,1795.223963
0,1,1804.801275
0,1,1814.348656
112,1,1824.792791
0,1,1834.355251
0,1,1844.043818
111,1,1854.363737
0,1,1863.927074
0,1,1873.491815
0,1,1883.068927
120,1,1893.390113
123,1,1903.751897
104,1,1913.856181
111,1,1924.07605
119,1,1934.328164
0,1,1943.895774
0,1,1953.41141
117,1,1963.588017
110,1,1973.932153
112,1,1984.284195
120,1,1994.766629
118,1,2005.139068
123,1,2015.331564
119,1,2025.795637
0,1,2036.457092
0,1,2046.152954
120,1,2056.675834
0,1,2066.377988
109,1,2076.895042
0,1,2086.539519
122,1,2097.170375
0,1,2106.827481
121,1,2117.418099
0,1,2127.057085
0,1,2136.72399
0,1,2146.299359
117,1,2156.769804
118,1,2167.188588
122,1,2177.738358
0,1,2187.269864
0,1,2196.841797
0,1,2206.387404
95,1,2216.723697
0,1,2226.292057
112,1,2236.453176
120,1,2246.863958
0,1,2256.623237
0,1,2266.268235
0,1,2275.848596
0,1,2285.484179
0,1,2294.979658
0,1,2304.610648
0,1,2314.172534
116,1,2324.483587
111,1,2334.722994
0,1,2344.195138
0,1,2353.791546
117,1,2364.051177
0,1,2373.513029
0,1,2383.016077
117,1,2393.163407
0,1,2402.651965
0,1,2412.187279
0,1,2421.630028
108,1,2431.939778
113,1,2442.344318
0,1,2451.922608
110,1,2462.28387
102,1,2472.356861
0,1,2481.973178
107,1,2492.24324
0,1,2501.885352
121,1,2512.294653
0,1,2521.773246
0,1,2531.433326
111,1,2541.805482
0,1,2551.376406
0,1,2560.873682
108,1,2571.203335
0,1,2580.759873
0,1,2590.36048
113,1,2600.722945
117,1,2611.103324
125,1,2621.559773
118,1,2632.008092
112,1,2642.511601
0,1,2652.328391
0,1,2662.167255
107,1,2672.716344
0,1,2682.48431
0,1,2692.282849
107,1,2702.714581
122,1,2713.127644
123,1,2723.672668
0,1,2733.367013
0,1,2743.053516
121,1,2753.579758
113,1,2764.227536
0,1,2774.049811
0,1,2783.785046
0,1,2793.512463
113,1,2804.147374
0,1,2813.946025
0,1,2823.68775
0,1,2833.355882
112,1,2843.896167
120,1,2854.257571
123,1,2864.588316
113,1,2874.928802
0,1,2884.503234
0,1,2894.331076
0,1,2904.038882
120,1,2914.471832
107,1,2924.898876
107,1,2935.311439
113,1,2945.672611
110,1,2956.009315
0,1,2965.512732
112,1,2975.787547
0,1,2985.440682
0,1,2994.646118
0,1,3003.623343
0,1,3012.723197
84,1,3032.664567
84,1,3053.10272
80,1,3073.049402
83,1,3093.035633
82,1,3112.988867
0,1,3122.592809
111,1,3133.078053
0,1,3142.711336
108,1,3153.052064
0,1,3162.63202
113,1,3173.048746
