#{"t_start": 1617864031.5950758, "env_id": "sdnsampling-MTD-v0"}
r,l,t
47.215774,1,3.41101
45.987195,1,3.518992
35.020844,1,3.620861
43.364122,1,3.727523
0.547633,1,3.905536
39.274239,1,4.012185
2.416667,1,4.320692
5.416667,1,4.418882
50.382383,1,4.526799
38.835744,1,4.628875
49.102424,1,4.731272
2.5,1,4.832896
48.616667,1,4.935241
0.0,1,5.038146
50.338139,1,5.140807
49.655555,1,5.243238
1.154889,1,5.413208
46.35,1,5.528203
43.425981,1,5.637233
4.066667,1,5.727194
43.55,1,5.822289
45.966667,1,5.920748
45.790215,1,6.02056
46.379413,1,6.119142
1.25,1,6.217592
34.16831,1,6.319087
0.580708,1,6.422162
1.0,1,6.524517
46.602563,1,6.627508
2.115965,1,6.728853
26.802783,1,6.832479
30.035419,1,6.934901
37.30446,1,7.037445
42.683333,1,7.137956
27.440397,1,7.243301
45.316667,1,7.422526
34.914964,1,7.528461
1.24615,1,7.632699
2.333333,1,7.735614
35.58547,1,7.838652
3.983333,1,7.941451
31.430837,1,8.043921
2.116326,1,8.146867
3.333333,1,8.249347
24.541344,1,8.351565
46.516667,1,8.45378
45.264728,1,8.556306
3.212734,1,8.658067
46.100331,1,8.762514
46.277034,1,8.865903
38.84138,1,8.967859
25.864863,1,9.070212
4.083333,1,9.172318
43.845327,1,9.271868
46.319619,1,9.374301
3.45,1,9.476038
45.266667,1,9.578342
0.666667,1,9.680008
0.95,1,9.782167
41.480263,1,9.884718
2.5,1,9.986669
45.683333,1,10.088837
46.344808,1,10.192031
46.259923,1,10.294685
44.357565,1,10.396814
0.5,1,10.500258
46.137355,1,10.602645
46.458926,1,10.705055
27.7368,1,10.807801
45.85,1,10.909575
1.29358,1,11.012183
46.516248,1,11.114687
44.346841,1,11.217116
44.944531,1,11.319855
45.816667,1,11.422375
2.45,1,11.524221
42.095206,1,11.624804
44.783333,1,11.725335
2.483333,1,11.823029
45.316667,1,11.921237
3.443989,1,12.019069
45.676018,1,12.117251
1.333333,1,12.216203
44.516667,1,12.31528
46.440851,1,12.418739
2.553237,1,12.589134
41.008084,1,12.691798
31.596605,1,12.789727
40.966667,1,12.892006
40.863282,1,12.994479
41.709701,1,13.096824
1.742105,1,13.199143
0.45,1,13.301301
41.668555,1,13.40398
1.45,1,13.506288
2.533333,1,13.6084
27.102272,1,13.711245
1.533333,1,13.879297
42.803178,1,13.988119
43.0,1,14.087019
2.866667,1,14.189386
42.875227,1,14.291955
0.75,1,14.393711
43.741787,1,14.494106
36.474596,1,14.596062
3.533333,1,14.698494
41.416667,1,14.800675
41.7,1,14.90256
3.2,1,15.000343
42.864906,1,15.102099
4.416667,1,15.20392
44.116667,1,15.306463
3.407715,1,15.408789
43.283333,1,15.511089
40.996069,1,15.804636
42.712186,1,15.907801
41.133333,1,16.010311
42.783333,1,16.093265
41.651771,1,16.192111
